HG Pipe name,NDinch,ODinch,IDinch,THICKNESSinch,lb/ft
Galvanized SCH 40 Pipe-3/4,0.75,1.05,0.824,0.113,1.13
Galvanized SCH 40 Pipe-1,1,1.315,1.049,0.133,1.678
Galvanized SCH 40 Pipe-1 1/4,1.25,1.66,1.38,0.14,2.272
Galvanized SCH 40 Pipe-1 1/2,1.5,1.9,1.61,0.145,2.717
Galvanized SCH 40 Pipe-2,2,2.375,2.067,0.154,3.652
Galvanized SCH 40 Pipe-2 1/2,2.5,2.875,2.469,0.203,5.793
Galvanized SCH 40 Pipe-3,3,3.5,3.068,0.216,7.575
Galvanized SCH 40 Pipe-3 1/2,3.5,4,3.548,0.226,9.109
Galvanized SCH 40 Pipe-4,4,4.5,4.026,0.237,10.79
Galvanized SCH 40 Pipe-6,6,6.625,6.065,0.28,18.974
Galvanized SCH 40 Pipe-8,8,8.625,7.981,0.322,28.554
Galvanized SCH 40 Pipe-10,10,10.75,10.02,0.365,40.483
Galvanized SCH 40 Pipe-11,11,11.75,11,0.375,45.557
Galvanized SCH 40 Pipe-12,12,12.75,12,0.375,49.562
,,,,,
